"id","org_name","event_name","event_description","event_start_date","event_end_date","days_of_week","start_time","end_time","more_info","fee","admission_price","site_location_name","event_photo","category","subcategory","age_group_eligibility_tags","race_ethnicity_eligibility_tags","special_needs_eligibility_tags","sogi_eligibility_tags","language_eligibility_tags","site_address","site_phone","site_email","latitude","longitude","point","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"101348_sfpl","SF Public Library","Activity: Advanced Tai Chi with Patrick Lau","Join the advanced class following the beginner's class at 12:15 pm. This weekly drop-in class will provide advanced Tai Chi instruction to…","2025/10/20 12:00:00 AM","2025/10/20 12:00:00 AM",,"14:15:00","15:00:00","https://sfpl.org/events/2025/10/20/activity-advanced-tai-chi-patrick-lau","false",,"Presidio","https://sfpl.org//sites/default/files/2024-11/17651.jpg","Health & Wellness",,"TAY (Ages 18-24)",,,,,"3150 Sacramento Street","415-355-2880","premgr@sfpl.org","37.788822","-122.444865","POINT (-122.444865 37.788822)","Pacific Heights","2","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"40473_rpd","SF Rec Park","Level 4","This class should improve participants' proficiency in performing the swimming strokes that were introduced in Level 3. Participants perform these strokes with increased proficiency and can swim them for greater distances. In addition, participants learn the arm actions that accompany the scissors kick and breaststroke kick to begin performing the sidestroke and breaststroke at rudimentary proficiency levels. Participants also learn the back crawl and butterfly at rudimentary proficiency levels, in addition to the basics of performing a simple open turn at a wall. Prerequisite: Successful completion of Level 3.","2025/09/02 12:00:00 AM","2025/12/31 12:00:00 AM","Sa","09:00:00","09:30:00","sfrecpark.org/register","true",,"SAN FRANCISCO RECREATION & PARKS","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Sports & Recreation","Swimming","Children; Pre-Teens; Teens; TAY",,,,,"501 Stanyan St","(415) 831-2700",,"37.772208","-122.454477","POINT (-122.454477 37.772208)","Golden Gate Park","1","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"126767_sfpl","SF Public Library","Storytime: For Preschoolers","Books, songs, fingerplays and more for ages 3–5.&nbsp;  Learn more about storytimes with SFPL, including current offerings, at…","2025/10/14 12:00:00 AM","2025/10/14 12:00:00 AM",,"10:30:00","11:00:00","https://sfpl.org/events/2025/10/14/storytime-preschoolers-1","false",,"Portola","https://sfpl.org//sites/default/files/topics/StorytimeforPreschoolers.jpg","Education",,"Toddlers (Ages 1-3), Pre-School (Ages 3-5)",,,,,"380 Bacon Street","415-355-5660","pormgr@sfpl.org","37.727118","-122.4063765","POINT (-122.4063765 37.727118)","Portola","9","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"114474_sfpl","SF Public Library","Social: Knitting Circle","Bring your own knitting, crochet, weaving or fiber-art project to share and work on in an inclusive social circle. No instructor present. All skills…","2025/10/14 12:00:00 AM","2025/10/14 12:00:00 AM",,"13:00:00","14:30:00","https://sfpl.org/events/2025/10/14/social-knitting-circle","false",,"Glen Park","https://sfpl.org//sites/default/files/2025-07/23262.png","Arts, Culture & Identity","Arts and Creative Expression, STEM","TAY (Ages 18-24)",,,,,"2825 Diamond Street","415-355-2858","gpamgr@sfpl.org","37.73394","-122.433903","POINT (-122.433903 37.73394)","Glen Park","8","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"40427_rpd","SF Rec Park","Tennis - Intermediate Live Ball","Live    Ball is a new format which emphasizes on court competitive drills in a fun,    fast, & exciting game format. This tennis course is not for the entry    level beginning player.","2025/11/07 12:00:00 AM","2025/12/19 12:00:00 AM","F","12:00:00","13:00:00","sfrecpark.org/register","true",,"SUNSET REC CENTER","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Sports & Recreation",,"TAY",,,,,"2201 Lawton St @ 29th Ave","(415) 242-1070",,"37.757223","-122.4866835","POINT (-122.4866835 37.757223)","Sunset/Parkside","4","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"39977_rpd","SF Rec Park","Tennis - High Performance (Juniors)","This    course will be taught by former University of San Francisco tennis team    standout-David Hong. This class will teach match play and strategy to help    students succeed on the tennis court. Students must be able to serve, rally,    and keep score. This is for the advanced player only.","2025/09/06 12:00:00 AM","2025/10/25 12:00:00 AM","Sa","13:30:00","14:30:00","sfrecpark.org/register","true",,"SUNSET REC CENTER","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Sports & Recreation",,"Teens; TAY",,,,,"2201 Lawton St @ 29th Ave","(415) 242-1070",,"37.757223","-122.4866835","POINT (-122.4866835 37.757223)","Sunset/Parkside","4","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"40515_rpd","SF Rec Park","Drop-in: Senior Swim/Therapy","Drop-in times can include additional programs and the pool is shared and lanes may vary. For additional questions, please call the pool directly at 628-652-7230.","2025/08/18 12:00:00 AM","2025/12/24 12:00:00 AM","M-Th","12:00:00","10:30:00","sfrecpark.org/register","true",,"ROSSI SWIMMING POOL","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Sports & Recreation","Swimming","All Ages",,,,,"600 Arguello Blvd","(415) 666-7014",,"37.779084","-122.458275","POINT (-122.458275 37.779084)","Lone Mountain/USF","1","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"39971_rpd","SF Rec Park","Tennis - Beginning","The    Maunupau Method/Learning & Fun Tennis System(LAFTS) curriculum uses a    progressive learning module to teach entry level students to play tennis with    proper technique. Students can expect to learn grips, swing flight paths,    stances, the art of the rally, shoulders being perpendicular to the net,    & match play.","2025/09/05 12:00:00 AM","2025/10/17 12:00:00 AM","F","18:00:00","19:00:00","sfrecpark.org/register","true",,"UPPER NOE REC CENTER","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Sports & Recreation",,"Children; Pre-Teens",,,,,"295 Day St @ Sanchez St","(415) 970-8061",,"37.74258","-122.428494","POINT (-122.428494 37.74258)","Noe Valley","8","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"119513_sfpl","SF Public Library","Dialogue: English Conversation Club","Practice and improve your English listening and speaking skills. We meet at the Women's Building. No reservation required and all levels are welcome.","2025/10/30 12:00:00 AM","2025/10/30 12:00:00 AM",,"15:30:00","16:30:00","https://sfpl.org/events/2025/10/30/dialogue-english-conversation-club","false",,"Mission","https://sfpl.org//sites/default/files/2025-03/20580.jpg","Arts, Culture & Identity",,"TAY (Ages 18-24)",,,,"Spanish","1234 Valencia Street","415-355-2800","mismgr@sfpl.org","37.75311","-122.42106","POINT (-122.42106 37.75311)","Mission","9","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"113225_sfpl","SF Public Library","Book Club: Bernal Readers, Braiding Sweetgrass","This month, we will read and discuss, <a href=""https://sfpl.bibliocommons.com/v2/record/S93C4592104""><strong>Braiding Sweetgrass</strong></a>&nbsp;by…","2025/10/28 12:00:00 AM","2025/10/28 12:00:00 AM",,"14:00:00","16:00:00","https://sfpl.org/events/2025/10/28/book-club-bernal-readers-braiding-sweetgrass","false",,"Bernal Heights","https://sfpl.org//sites/default/files/topics/BookClubs.jpg","Arts, Culture & Identity",,"TAY (Ages 18-24)",,,,,"500 Cortland Avenue","415-355-2810","bhemgr@sfpl.org","37.738917","-122.4161685","POINT (-122.4161685 37.738917)","Bernal Heights","9","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"130602_sfpl","SF Public Library","Taller: Serie de clases básicas de computadoras con Tech Exchange","Aprenda los conceptos básicos de la comunicación por correo electrónico y adquiera experiencia práctica con Google Drive, Docs, Slides y Sheets para…","2025/11/03 12:00:00 AM","2025/11/03 12:00:00 AM",,"10:00:00","12:00:00","https://sfpl.org/events/2025/11/03/taller-serie-de-clases-basicas-de-computadoras-con-tech-exchange","false",,"Excelsior","https://sfpl.org//sites/default/files/topics/Tech%20Time%20Website%20Banner%20951x469.png","Education","Computer Class, Digital Software, Skills & Training","TAY (Ages 18-24)",,,,"Spanish","4400 Mission Street","415-355-2868","excmgr@sfpl.org","37.727028","-122.433246","POINT (-122.433246 37.727028)","Outer Mission","11","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"10013296_sfdec","Instituto Familiar de la Raza","Distribución de panales (event)","Solamente los dias miercoles de 10am-12pm y 1pm-4pm Pregunte por Naomi o Alejandro, (415) 229-0500 INSTITUTO FAMILIAR DE LA RAZA 2919 MISSION ST, SF CA, 94110","2025/10/22 12:00:00 AM","2025/10/22 12:00:00 AM",,"10:00:00","12:00:00","https://sfdec.org/event/distribucion-de-panales-event/2025-10-22/",,,"2919 Mission Street","https://sfdec.org/wp-content/uploads/2025/08/new-Diper-Flyer.jpg","Family Support",,,,,,,"2919 Mission Street","(415) 229-0500","info@ifrsf.org","37.750311","-122.417928","POINT (-122.417928 37.750311)","Mission","9","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"39705_rpd","SF Rec Park","Level 3","This class builds on the skills learned in Levels 1 and 2. Participants learn to swim the front crawl and elementary backstroke at rudimentary proficiency levels and are introduced to the scissors and dolphin kicks. Participants learn the survival float and increase the time duration for treading water. Participants also learn the rules for headfirst entries and begin to learn to enter the water headfirst from a seated position at poolside (if the water is 9 feet deep or deeper). On successful completion of Level 3, participants have achieved basic water competency in a pool environment. Prerequisite: Successful completion of Level 2. Children must be 48 to participate.  Registration is limited to one swim class per participant.","2025/09/06 12:00:00 AM","2025/10/25 12:00:00 AM","Sa","09:45:00","10:15:00","sfrecpark.org/register","true",,"COFFMAN SWIMMING POOL","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Sports & Recreation","Swimming","Children; Pre-Teens; Teens; TAY",,,,,"1700 Visitacion Ave","(415) 337-9085",,"37.71356460576","-122.41540105152","POINT (-122.415401052 37.713564606)","Visitacion Valley","10","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"39749_rpd","SF Rec Park","Grow With Us","Join us    for a monthly plant growing class with friends. We will cover pest-management, feeding,    watering and vertical growing. Focus    will be on plants in the Araceae family: Monsteras, Philodendrons, and    Anthurium etc. All equipment and plant    material will be provided. Minimum age    12 years old.","2025/09/20 12:00:00 AM","2025/12/20 12:00:00 AM","Sa","10:30:00","12:00:00","sfrecpark.org/register","false",,"ECOCENTER","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Education","STEM","Pre-Teens; Teens; TAY",,,,,"32 Jennings Street","(415) 676-1394",,"37.74013765213","-122.3769550104","POINT (-122.37695501 37.740137652)","Bayview Hunters Point","10","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"131499_sfpl","SF Public Library","Dialogue: Grotto Nights at the Library","How does writing across genres feed our imagination and strengthen craft?&nbsp;Cross-train your writing muscles at this month's Grotto Night at the…","2025/10/28 12:00:00 AM","2025/10/28 12:00:00 AM",,"18:00:00","19:30:00","https://sfpl.org/events/2025/10/28/dialogue-grotto-nights-library","false",,"Main Library","https://sfpl.org//sites/default/files/2025-08/24299.png","Arts, Culture & Identity",,"TAY (Ages 18-24)",,,,,"100 Larkin Street","415-557-4400","info@sfpl.org","37.779354","-122.4158715","POINT (-122.4158715 37.779354)","Tenderloin","5","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"131058_sfpl","SF Public Library","Book Club: Read Together, Richmond Branch Silent Book Club","Bring any book of your choice (fiction or non-fiction) for a period of silent reading followed by a discussion where you can share what you are…","2025/10/29 12:00:00 AM","2025/10/29 12:00:00 AM",,"15:00:00","17:00:00","https://sfpl.org/events/2025/10/29/book-club-read-together-richmond-branch-silent-book-club","false",,"Richmond/Senator Milton Marks","https://sfpl.org//sites/default/files/topics/BookClubs.jpg","Arts, Culture & Identity",,"TAY (Ages 18-24)",,,,,"351 9th Avenue","415-355-5600","ricmgr@sfpl.org","37.781865","-122.4680535","POINT (-122.4680535 37.781865)","Inner Richmond","1","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"130250_sfpl","SF Public Library","Workshop: Autumn Geese Origami","Celebrate the beauty of the autumn season with a relaxing, hands-on origami session designed especially for adults. Led by origami artist Angela,…","2025/11/05 12:00:00 AM","2025/11/05 12:00:00 AM",,"18:00:00","19:30:00","https://sfpl.org/events/2025/11/05/workshop-autumn-geese-origami","false",,"Parkside","https://sfpl.org//sites/default/files/2025-08/24013.png","Arts, Culture & Identity","Arts and Creative Expression","TAY (Ages 18-24)",,,,,"1200 Taraval Street","415-355-5770","psimgr@sfpl.org","37.743093","-122.479407","POINT (-122.479407 37.743093)","Sunset/Parkside","4","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"99902_sfpl","SF Public Library","Workshop: LEGO Robotics","Learn how to build LEGO robots&nbsp;with Lowell High School students. For ages 7–13.","2025/10/12 12:00:00 AM","2025/10/12 12:00:00 AM",,"14:00:00","15:00:00","https://sfpl.org/events/2025/10/12/workshop-lego-robotics","false",,"Sunset","https://sfpl.org//sites/default/files/2024-09/16455.jpg","Education","Arts and Creative Expression, STEM","Children/Pre-Teens (Ages 5-13)",,,,,"1305 18th Avenue","415-355-2808","sunmgr@sfpl.org","37.76337","-122.476257","POINT (-122.476257 37.76337)","Inner Sunset","7","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"40187_rpd","SF Rec Park","Martial Arts Sampler - Advanced","The Martial Arts Sampler has been developed for anyone who wants a taste of martial arts at their neighborhood recreation center. Please call the recreation center to find out which martial art is being offered.","2025/09/10 12:00:00 AM","2025/12/17 12:00:00 AM","W","19:00:00","20:00:00","sfrecpark.org/register","true",,"ST. MARY'S REC CENTER","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Sports & Recreation",,"Children; Pre-Teens; Teens; TAY",,,,,"95 Justin Dr @ Murray St","(415) 695-5006",,"37.734138","-122.421924","POINT (-122.421924 37.734138)","Bernal Heights","9","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"39190_rpd","SF Rec Park","After School Program - Bernal Heights Wait List","**You are adding to the wait list only**The After School program is currently full. You are adding to the wait list for the 2025-26 school year. If a spot opens up and we are able to offer you a spot, we will reach out. This afterschool program only pick up participants from Paul Revere.Our after school program is an experience that provides a safe and    nurturing environment for youth in grades K-5 to develop life long recreation    and leisure skills. Participants will receive homework assistance, be exposed to an    environment that will promote literacy, encourage communication and    empowerment skills while providing recreation activities that include sports,    group games, arts and culture, community exploration and seasonal special    events. All staff and volunteers receive background checks and are trained in    safety skills. Start times may vary based on the school release time. The fee    for the school year is $1,080. Parents will have the option to pay the entire    fee upon registration. Payment plans are available. $270 is due upon registration    and on the first day of October, January and March of the school year.","2025/08/18 12:00:00 AM","2026/06/03 12:00:00 AM","M-F","14:00:00","18:00:00","sfrecpark.org/register","false",,"BERNAL HEIGHTS REC CENTER","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Childcare","After and Before School Care","Children; Pre-Teens",,,,,"500 Moultrie","(415) 695-5007",,"37.73837022547","-122.41589565431","POINT (-122.415895654 37.738370225)","Bernal Heights","9","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"39595_rpd","SF Rec Park","Zumba - Drop-in","Walk-up outdoor Zumba is free! Visit sfrecpark.org/zumba for a full schedule of current classes.","2025/09/03 12:00:00 AM","2025/12/12 12:00:00 AM","W,F","12:00:00","13:00:00","sfrecpark.org/register","false",,"CIVIC CENTER PLAZA","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Sports & Recreation","Physical Fitness","All Ages",,,,,"Grove / Larkin","(415) 831-2700",,"37.778661","-122.4165915","POINT (-122.4165915 37.778661)","Tenderloin","5","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"10012142_sfdec","Wu Yee","Baby and Me Playgroup Session 1 (Playgroup, Cantonese)","•       Dates/ day(s): Wednesdays, 07/16 &#8211; 10/29/2025 •       Frequency: 16 sessions •       Time: 10:30 am-12:00 pm •       Location: 922 Jackson Street, San Francisco, CA 94133 •       If you have any more information, please contact: Christy Li: 415-516-0564 or Fion Chan: 415-391-4890 •       What language is the activity in? Cantonese •       A brief description of the workshop if you want me to include it in the description. A playgroup for 0-12-month-old babies!  It is a wonderful space for new parents to connect and learn about child development.","2025/10/08 12:00:00 AM","2025/10/08 12:00:00 AM",,"10:30:00","12:00:00","https://sfdec.org/event/baby-and-me-playgroup-session-1-playgroup-cantonese/2025-10-08/",,,"922 Jackson Street",,"Childcare","Playgroups","Infants",,,,"Chinese","922 Jackson Street","415-391-4890","joylokfrc@wuyee.org","37.795653","-122.4103815","POINT (-122.4103815 37.795653)","Chinatown","3","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
